City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,la'ie,21.6477,-157.9253,27.66,77,95,4.02,US,1731456405
205,roccella ionica,38.322,16.4009,15.53,80,90,8.16,IT,1731456407
206,greenland,43.0362,-70.8328,4.68,56,20,6.69,US,1731456408
207,hasaki,35.7333,140.8333,18.64,63,0,10.32,JP,1731456409
208,college,64.8569,-147.8028,-14.96,82,75,0.0,US,1731456410
209,udachny,66.4167,112.4,-21.4,100,100,1.61,RU,1731456411
210,sanctuary point,-35.1114,150.629,22.46,66,52,5.69,AU,1731456412
211,palapye,-22.546,27.1251,18.15,93,100,2.61,BW,1731456413
212,gobabis,-22.45,18.9667,23.25,7,51,7.18,NA,1731456415
213,george town,5.4112,100.3354,27.96,83,20,1.54,MY,1731456416
214,swindon,51.558,-1.7812,8.72,82,40,3.09,GB,1731456417
215,virginia,37.5481,-77.4467,11.6,63,0,3.6,US,1731456418
216,alesund,62.4723,6.1549,12.08,76,75,11.83,NO,1731456419
217,polyarnyy,69.1989,33.4478,0.9,86,100,6.19,RU,1731456139
218,nelson bay,-32.7167,152.15,22.83,84,100,2.24,AU,1731456422
219,cassilandia,-19.1133,-51.7342,24.3,81,100,0.83,BR,1731456423
220,kasempa,-13.4584,25.8338,16.77,92,80,0.83,ZM,1731456424
221,lyubinskiy,55.1542,72.6925,-9.54,94,100,6.45,RU,1731456425
222,tadine,-21.55,167.8833,27.02,66,85,5.2,NC,1731456426
223,belebey,54.1167,54.1167,-4.55,95,91,5.39,RU,1731456427
224,simmern,49.9833,7.5167,2.91,100,75,4.12,DE,1731456429
225,perushtitsa,42.05,24.55,5.73,98,100,0.91,BG,1731456430
226,nan,18.8333,100.6667,21.12,93,5,0.5,TH,1731456431
227,oyama,36.3,139.8,16.89,48,0,2.52,JP,1731456432
228,pakuranga,-36.8833,174.9167,20.81,76,75,8.23,NZ,1731456435
229,tabou,4.423,-7.3528,25.92,84,85,2.42,CI,1731456436
230,san matias,-16.3667,-58.4,25.78,76,98,1.21,BO,1731456437
231,kati,12.7441,-8.0726,21.67,28,100,0.98,ML,1731456439
232,khandyga,62.6667,135.6,-26.38,96,53,1.28,RU,1731456441
233,leava,-14.3,-178.1667,27.55,79,100,5.91,WF,1731456442
234,minas de marcona,-15.2119,-75.1103,15.09,74,45,3.17,PE,1731456443
235,roma,43.2128,-75.4557,2.98,63,20,3.6,US,1731456444
236,hsinchu,24.8036,120.9686,25.5,85,96,1.34,TW,1731456154
237,nova vicosa,-17.8919,-39.3719,25.14,85,12,6.24,BR,1731456446
238,adrar,20.5022,-10.0711,22.77,16,0,2.33,MR,1731456447
239,teyateyaneng,-29.1472,27.7489,13.24,64,38,1.71,LS,1731456449
240,sao benedito do rio preto,-3.3336,-43.5283,22.97,86,81,1.53,BR,1731456450
241,al abyar,32.19,20.5965,17.83,42,41,4.56,LY,1731456451
242,khartoum,15.5518,32.5324,28.89,34,0,8.39,SD,1731456452
243,alofi,-19.0595,-169.9187,26.94,74,75,6.69,NU,1731456453
244,kingscliff,-28.2667,153.5667,23.89,83,20,3.6,AU,1731456454
245,ripky,51.801,31.0838,-1.47,93,16,2.25,UA,1731456456
246,sittwe,20.15,92.9,24.15,89,13,2.84,MM,1731456457
247,silver city,32.7701,-108.2803,13.7,24,0,4.92,US,1731456458
248,borzya,50.3833,116.5167,-8.94,86,7,1.68,RU,1731456459
249,la estancia,20.4167,-100.0667,23.68,29,74,1.89,MX,1731456460
250,trekhgornyy,54.815,58.4592,-3.68,96,100,3.51,RU,1731456461
251,chibougamau,49.9168,-74.3659,-4.21,86,100,2.06,CA,1731456463
252,iskateley,67.6803,53.1512,-6.97,95,100,4.71,RU,1731456464
253,macheng,31.1783,115.0319,19.15,64,84,1.41,CN,1731456465
254,sur,22.5667,59.5289,26.44,53,1,2.72,OM,1731456466
255,bayramaly,37.6185,62.1671,8.86,83,100,4.29,TM,1731456467
256,lebedyn,50.5852,34.4849,-0.71,84,14,2.2,UA,1731456468
257,newman,37.3138,-121.0208,16.13,60,14,1.34,US,1731456471
258,mosfellsbaer,64.1667,-21.7,6.53,62,57,10.94,IS,1731456472
259,penhalonga,-18.8911,32.6978,16.95,95,100,1.33,ZW,1731456473
260,coquimbo,-29.9533,-71.3436,13.85,89,20,3.6,CL,1731456474
